Event type,Event time,Symbol,Aggregate trade ID,Price,Quantity,First trade ID,Last trade ID,Trade time,Is the buyer the market maker?,Ignore
aggTrade,1.62593E+12,BTCUSDT,842075091,33716.53,0.001546,951477490,951477490,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075092,33716.53,0.004363,951477491,951477491,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075093,33716.53,0.00079,951477492,951477493,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075094,33715.11,0.006148,951477494,951477495,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075095,33715.12,0.007605,951477496,951477496,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075096,33715.11,0.067891,951477497,951477497,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075097,33715.12,0.001186,951477498,951477498,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075098,33715.12,0.003909,951477499,951477499,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075099,33715.12,0.004221,951477500,951477500,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075100,33715.11,0.003227,951477501,951477501,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075101,33715.11,0.007424,951477502,951477502,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049910,313.51,2.4237,355772739,355772740,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075102,33715.11,0.0012,951477503,951477503,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075103,33715.11,0.013081,951477504,951477505,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075104,33715.09,0.357919,951477506,951477509,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075105,33715.08,0.001186,951477510,951477511,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075106,33715,0.044451,951477512,951477514,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075107,33715,0.01483,951477515,951477515,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075108,33715,0.077644,951477516,951477517,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075109,33714.99,0.222356,951477518,951477518,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075110,33715,0.003057,951477519,951477519,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075111,33715,0.003182,951477520,951477520,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049911,313.51,0.0319,355772741,355772741,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075112,33715,0.042955,951477521,951477521,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049912,313.5,3.2536,355772742,355772742,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075113,33714.99,0.02348,951477522,951477522,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049913,313.5,0.1213,355772743,355772743,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075114,33715,0.008908,951477523,951477523,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075115,33714.99,0.002929,951477524,951477524,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049914,313.51,0.1545,355772744,355772745,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075116,33714.99,0.005532,951477525,951477525,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049915,313.5,0.1379,355772746,355772746,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049916,313.5,16.796,355772747,355772747,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075117,33715,0.010281,951477526,951477526,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049917,313.5,8,355772748,355772748,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049918,313.5,13.9823,355772749,355772749,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075118,33714.99,0.001313,951477527,951477527,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049919,313.5,8,355772750,355772750,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075119,33714.99,0.01483,951477528,951477528,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075120,33714.99,0.033247,951477529,951477529,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075121,33715,0.003219,951477530,951477530,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049920,313.5,4.7,355772751,355772751,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075122,33714.99,0.012459,951477531,951477531,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075123,33714.99,0.002172,951477532,951477532,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075124,33715,0.005223,951477533,951477533,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049921,313.51,0.6518,355772752,355772752,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075125,33714.99,0.024633,951477534,951477534,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075126,33715,0.000296,951477535,951477535,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075127,33714.99,0.000577,951477536,951477536,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075128,33715,0.000768,951477537,951477537,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075129,33714.99,0.000395,951477538,951477538,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049922,313.51,0.0591,355772753,355772753,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049923,313.51,0.1265,355772754,355772754,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049924,313.51,0.3816,355772755,355772755,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049925,313.51,2.2327,355772756,355772756,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BTCUSDT,842075130,33714.99,0.001018,951477539,951477539,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049926,313.5,0.0577,355772757,355772757,1.62593E+12,TRUE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049927,313.51,10.0185,355772758,355772764,1.62593E+12,FALSE,TRUE
aggTrade,1.62593E+12,BNBUSDT,301049928,313.5,0.2,355772765,355772765,1.62593E+12,TRUE,TRUE
